,mean_H,mean_S,mean_V,stddev_H,stddev_S,stddev_V,entropy_H,entropy_S,entropy_V,Skew_H,Skew_S,Skew_V,Kurtosis_H,Kurtosis_S,Kurtosis_V,label,Color Code,Ripeness Code,Uniformity Code
IMG_20170620_152506.jpg,103.69415222208336,144.82568141459274,185.62085507506757,2.3024878406193685,27.78113339653973,33.181612203998874,2.2608852336958,4.743368688998065,4.858507021627634,-14.885867752743788,1.0769238121855595,-1.3759781480291184,743.7665169683546,2.5604167080073745,3.6451895353323804,,2,C,M
IMG_20170620_152511.jpg,103.84446368544528,145.20638609739777,183.24785430564452,2.2933454880939435,30.205306456166984,35.94917010245394,2.2565890911067976,4.8257764222042745,4.92628643901052,-8.20021489708461,1.1716914266733451,-1.2282755876099964,472.9684247425841,2.3512705376917165,2.6894582119575974,,2,C,M
IMG_20170620_152522.jpg,103.55650238963791,148.14044615145266,186.2365895323314,2.995948528021569,29.22610818781104,35.1465662085893,2.520723573067586,4.792988713561819,4.897773074033339,-18.485952788332014,0.9936626076985445,-1.4241049908612298,676.5511990938056,2.242619718203043,3.781027110977856,,2,C,M
IMG_20170620_152526.jpg,103.56267844170351,147.25010382654523,185.9709104221021,1.8689878138768623,28.74533078558844,33.29749244456167,2.0561182778769203,4.776982123940039,4.85993162811541,-3.3958751363552313,1.0367667285152822,-1.1440678281959078,315.5589669980701,2.1815925553163815,2.5591483998821554,,2,C,M
IMG_20170620_152535.jpg,103.60426618066731,147.30245364258673,186.25404484135044,3.014250535526189,25.38574225724132,31.628153846530875,2.5266704302558844,4.653162925488179,4.819938655699411,-21.75407843621756,0.8441987126962033,-1.6788814193206065,765.7691669737212,2.7616501557673105,5.5350548801584605,,2,C,M
IMG_20170620_152550.jpg,103.9220313093992,152.34439126724368,184.06430996682758,2.9426399005665647,30.135530573791215,37.157153203731404,2.503060836262068,4.822783470170725,4.946382877661138,-14.60010862857837,1.0021337935863504,-1.3375622275066228,566.5295010527735,1.9178665849793228,3.0642357615105276,,2,C,M
IMG_20170620_152553.jpg,103.81941105612752,153.18858147226692,180.17633075361798,2.4116132067597538,29.843315535087537,36.67208342566072,2.3063372531220807,4.812783730143558,4.951827122846765,-9.614453013848102,1.0589023156296002,-1.2318772465339165,514.5106585990777,1.9665153929023047,2.6132213517443637,,2,C,M
IMG_20170620_152603.jpg,103.95187558260037,146.80240115973274,185.58182809253387,2.9085898229576155,29.059701590421927,35.71606773566325,2.4913947450116396,4.787629162405195,4.912424986431678,-17.177940612173085,1.1182389474696424,-1.390508449054341,653.2063744241193,2.5909191777408234,3.6909711790297255,,2,C,M
IMG_20170620_152607.jpg,103.99475635262229,147.98236828349658,181.8961431855937,3.1176189616903436,30.008863877781554,37.4387613324414,2.560233615535499,4.819168497900919,4.960117264371569,-16.546929156896798,1.1261972675265142,-1.2963754854308058,591.4464092961194,2.4438198583942334,2.9686122010713136,,2,C,M
IMG_20170620_152616.jpg,104.05009297195187,147.99005649270677,183.65253755005807,2.9034670404351375,29.258455760304745,36.08448528572493,2.4899990616046304,4.7939769276325155,4.927443434571908,-16.27884026871948,1.1256973388202536,-1.3319817140776031,628.2837336934311,2.456212465758849,3.1997641289852954,,2,C,M
IMG_20170620_152620.jpg,104.11291771469638,149.4557846194806,179.86421709251823,2.512874683820614,29.905512612557104,36.42664136524988,2.346889477794729,4.815188360274119,4.94796371151357,-10.585248071582118,1.1644942238765477,-1.1948909934990695,527.6210066727575,2.3389206523646635,2.581247746855176,,2,C,M
IMG_20170620_152630.jpg,104.24419482676916,146.29294952662906,187.67654361430945,2.557778565434553,28.28959627366709,35.14135200497375,2.364578491632002,4.761140748569156,4.891876451247089,-15.356238911924313,1.0971149453354803,-1.3381763876077226,683.1531012361118,2.495086215562967,3.306421635367471,,2,C,M
IMG_20170620_152633.jpg,104.14286516349264,147.56969788102714,182.91847598254412,2.7440802652916045,29.217999614516277,36.27528819721549,2.433412094491611,4.792809322405758,4.933621130484534,-15.587592920505532,1.1131904990162098,-1.243433117789385,645.6141155223222,2.5187165291677616,3.0361980383557094,,2,C,M
IMG_20170620_152642.jpg,103.74047684375114,146.875385037,185.67047887471554,2.8893753738602843,30.248068717506,37.025071858474014,2.4850980635142084,4.827256505779915,4.937321192657578,-14.359878121448668,1.1409705297321686,-1.3464569885031847,570.9558856508237,2.344914703746931,3.2049708441440226,,2,C,M
IMG_20170620_152645.jpg,103.71995702427263,147.6113909925427,180.25622438511252,2.5753139507366543,29.66620974593552,36.731695348924205,2.371050851863669,4.807854966279216,4.952622744315309,-12.17305546960477,1.1332742370494138,-1.197955517723962,560.0067564857125,2.320039104633654,2.550909077949182,,2,C,M
IMG_20170620_152656.jpg,103.65075541134841,147.82688974076564,185.96429986082686,2.59664318169157,29.313297836063736,34.65610453383031,2.3793273049255745,4.796162783346972,4.889168727748935,-15.018052742973255,1.0361597323136422,-1.4031221189299996,665.2070677985374,2.208921421625969,3.7014794778376388,,2,C,M
IMG_20170620_152659.jpg,103.76923891236649,148.78713052070802,182.7393213259073,3.094419596686375,30.61410130630504,36.69760893709959,2.552984391898686,4.838833918599505,4.943038012364324,-16.263513062025297,0.9743224361331813,-1.3521248894066131,586.8228936417466,1.992758723044493,3.283665015092489,,2,C,M
IMG_20170620_152714.jpg,103.6397348257016,143.55166843399627,185.20570902789711,2.891633695263339,28.690774903783538,34.09828450721704,2.485717956216509,4.77536522067375,4.880157694448449,-18.651252532910664,1.050925800722938,-1.5135818248951083,707.4849330767104,2.478261587280942,4.209782495091314,,2,C,M
IMG_20170620_152717.jpg,103.68151418810896,143.67327657699178,184.45664639607972,1.9940947195536445,27.67830356112238,33.27117351757175,2.1194825179171075,4.73913822569766,4.864685778457946,-6.921045763993975,1.1605761913516501,-1.1682022763009297,474.5930882884517,2.6857392163127463,2.6610873957970504,,2,C,M
IMG_20170620_152728.jpg,103.95787091463701,144.2620087279393,186.438957802809,3.0625079403245135,29.68688765237458,36.0926791880024,2.5429765931152506,4.808903398025455,4.915829001151563,-18.819635458535814,1.1340936638310073,-1.477039307611108,669.9933745941275,2.650399753474858,3.8010522985153115,,2,C,M
